memorability_score;reprentativeness_score;sentence
10.1694697;0.013376357842991037;I like it.
10.7553051;0.018704704535359343;We have the data.
10.9464151;0.021921500300462818;This is the crew.
10.96582;0.01767920093999953;On its way.
11.0538664;0.021733584863311894;I will be there.
11.13640923;0.021668880625760095;Were on the way.
11.1696651;0.027536284159871586;I can get them.
11.2029983;0.02590428930966761;I will call.
11.2157575;0.016828742260481894;Working on it
11.2433651;0.027267233606420957;Not at this time.
11.2454915;0.013119542469906322;No can do.
11.250211499999999;0.013132756500782779;Good for you.
11.3718751;0.02964885110841804;That is not true.
11.394869700000001;0.02715303820167154;It went well.
11.44071;0.020500607032338587;Make the move.
11.4660445;0.02923012655157295;No to both.
11.5035926;0.03491581044893537;There is a God.
11.5117045;0.03521496714106893;I will tell them.
11.5316719;0.03217305157699487;This will be hard.
11.5519483;0.030319835262590054;Of course not
11.5538083;0.030341408208763045;What a pain.
11.553893599999999;0.025854811506603664;I sent it to her.
11.5539315;0.013757104692136837;Go to 16.
11.5619515;0.013767249863405578;How are you?
11.5732129;0.034840386942197335;If he wants it.
11.5838897;0.02874258046554614;I hope so.
11.5885026;0.03693101584491445;I have no idea.
11.6067183;0.030943994744834943;I have none.
11.60951923;0.028269757515851965;Not even in yet.
11.6500845;0.03096516610536236;I love you.
11.6691015;0.013869976947149476;OK by me.
11.674579699999999;0.0293916653151821;What is this?
11.6777029;0.03690452770937124;I love you too.
11.6805716;0.028590915129881822;What is in the plan?
11.71924;0.021460859708363623;Send to me.
11.729493000000002;0.024235984241807906;Back at you.
11.741723799999999;0.014767765590514563;I have a request.
11.7696;0.0215691959952396;OK with me.
11.7867015;0.013911464409709954;Will that work?
11.836688299999999;0.03327889555124394;What a mess.
11.8490182;0.030855565376916656;I am all over it.
11.88955;0.033820800397398695;Only in Texas.
11.8919015;0.013884849409178081;This looks good.
11.9063705;0.03151046833044156;I am on my way.
11.9096775;0.028533550586949293;I would agree.
11.9435542;0.03673384724271021;We are in a loop.
11.9438467;0.04497403569593151;That would be great.
11.945388900000001;0.030766775285291943;I better go.
11.9694168;0.029617540359332093;In a couple of weeks.
11.9774545;0.04581901032598166;Thanks for the plant.
11.9799051;0.04036563878913438;It was very nice.
11.9979704;0.03568167444606475;Here is the message.
12.013053;0.0247921087727277;Works for me.
12.016009999999998;0.021793105619949325;Not very good.
12.0246305;0.03415504561662405;This will make my week.
12.0255546;0.0384173873529609;Not in the near future.
12.03092;0.026751773003469002;It is no problem.
12.034224199999999;0.03932971270626112;I think its over now.
12.040662999999999;0.038302536330384926;That is so sad.
12.0424933;0.0337235698382967;I will be back Friday.
12.060155100000001;0.04159142943111932;What is the mood?
12.0651395;0.012175087962907227;Not a problem.
12.0683351;0.04171254274223808;Hope all is well.
12.100745100000001;0.04218502150627499;Talk to you soon.
12.106656699999998;0.04839804690621536;Talk to you later.
12.113754199999999;0.04164676730271832;I am at the lake.
12.1147616;0.039561477743186024;It may be an hour.
12.121679700000001;0.03130416353824742;Sent to 8
12.1289829;0.04505277211003931;On my way down.
12.134444199999999;0.04225446595398465;See you on the third.
12.15231;0.02169535500913411;Just got this.
12.1550315;0.01355888439085167;This looks fine.
12.1616529;0.04556696978573266;On my way back.
12.18205923;0.03328965087493701;Will get back to you.
12.191776399999998;0.048526321652085896;Will be a while.
12.203223000000001;0.040260926452390995;Cool is it not.
12.2169697;0.03140830807187945;Who is this?
12.2229645;0.02375526052931916;I thought so.
12.227973800000001;0.021526837977446568;I left a message.
12.23180923;0.035098551907819235;See you next week.
12.2418449;0.03911743092322711;Go for the dollars.
12.24952;0.021530054064569423;She just came.
12.263939999999998;0.02149886763656887;Where are you?
12.289503;0.024590179941423842;This is fun!
12.290879499999999;0.026714647022158186;I heard it was at 5
12.3042261;0.04405977205943241;I vote for the latter.
12.3103464;0.051246635481162935;See you on Friday.
12.3145551;0.04497324633508427;What is going on?
12.338777499999999;0.03199668188883777;Florida is great.
12.339479999999998;0.03613198445642959;What is wrong?
12.3905645;0.05389979298420584;What a crazy day.
12.4352967;0.05437813731795916;We are having fun.
12.443176699999999;0.05450196222247149;I hoped you did.
12.4797615;0.012684327036739666;Going well here.
12.483412999999999;0.02401700137823794;See you soon.
12.5018545;0.03402454845981946;See you later.
12.503577199999999;0.03966496307714288;Thanks for the surprise.
12.504033;0.02393611230912045;See you then.
12.504190000000001;0.020736095677466503;Is that OK?
12.5062467;0.05545466424722025;That was so sweet.
12.52191;0.05216847710107189;Sorry for the delay.
12.5240997;0.03098770882103443;Not even close.
12.53941;0.05757307522624975;They have capacity now.
12.541166;0.03624011393143957;See you Monday.
12.5609682;0.04717489731737449;Not just 1 to 2.
12.5677645;0.05661808129093912;Are you in today?
12.577739699999999;0.03079797800863047;Thanks for note.
12.5898145;0.05691682950787473;Have a good trip.
12.5986082;0.04798006935399632;This seems fine to me.
12.6037467;0.056786080748493034;Sounds good to me.
12.6068532;0.043812282242059075;She has the game tomorrow.
12.614750399999998;0.049098033311323896;Travis is in charge.
12.6303895;0.0589645696742566;Brian is working this.
12.631928299999998;0.05890418022312215;I told you silly.
12.6433453;0.059060072556222365;How is it going?
12.644373000000002;0.023289589340277382;Is it far?
12.6522464;0.05918549492741535;This is good I think.
12.6612297;0.016466558142742886;I will not be available.
12.664928199999999;0.04936567900950962;You hang in there too.
12.673406;0.036304337928544345;3 - true.
12.6786426;0.052015003025041376;How are things with you?
12.6841867;0.05774658699487524;I hope you went.
12.6897545;0.058151864303543306;What a nice note.
12.6947471;0.04699240910241205;Probably will be working
12.6974176;0.05822382234543452;What is the cost issue?
